"","DayOfWeek","Date","Sales","StateHoliday","SchoolHoliday","InventoryStart","NextDay","InventoryFinal"
"535",5,"2015-05-15",6,"0",1,10,1,0
"536",6,"2015-05-16",6,"0",0,7,1,0
"537",7,"2015-05-17",12,"0",0,6,1,0
"538",6,"2015-05-23",6,"0",0,6,1,0
"539",7,"2015-05-24",12,"0",0,9,1,0
"540",1,"2015-05-25",14,"a",0,9,1,0
"541",2,"2015-05-26",7,"0",1,9,1,0
"542",3,"2015-05-27",7,"0",0,6,1,0
"543",4,"2015-05-28",6,"0",0,7,1,0
"544",5,"2015-05-29",7,"0",0,8,1,0
"545",6,"2015-05-30",6,"0",0,7,1,0
"546",7,"2015-05-31",13,"0",0,14,1,0
"547",6,"2015-06-06",5,"0",0,10,1,0
"548",7,"2015-06-07",13,"0",0,5,1,0
"549",1,"2015-06-08",7,"0",0,14,1,0
"550",2,"2015-06-09",7,"0",0,13,1,0
"551",3,"2015-06-10",6,"0",0,15,1,0
"552",4,"2015-06-11",6,"0",0,16,1,0
"553",5,"2015-06-12",7,"0",0,6,1,0
"554",6,"2015-06-13",5,"0",0,8,1,0
"555",7,"2015-06-14",13,"0",0,12,1,0
"556",6,"2015-06-20",5,"0",0,11,1,0
"557",7,"2015-06-21",12,"0",0,13,1,0
"558",1,"2015-06-22",6,"0",0,12,1,0
"559",2,"2015-06-23",7,"0",0,16,1,0
"560",3,"2015-06-24",7,"0",0,12,1,0
"561",4,"2015-06-25",6,"0",0,13,1,0
"562",5,"2015-06-26",6,"0",0,15,1,0
"563",6,"2015-06-27",6,"0",0,16,1,0
"564",7,"2015-06-28",12,"0",0,8,1,0
"565",6,"2015-07-04",6,"0",0,5,1,0
"566",7,"2015-07-05",13,"0",0,7,1,0
"567",1,"2015-07-06",7,"0",0,15,1,0
"568",2,"2015-07-07",6,"0",0,6,1,0
"569",3,"2015-07-08",7,"0",0,11,1,0
"570",4,"2015-07-09",6,"0",0,13,1,0
"571",5,"2015-07-10",7,"0",0,10,1,0
"572",6,"2015-07-11",6,"0",0,16,1,0
"573",7,"2015-07-12",14,"0",0,10,1,0
"574",6,"2015-07-18",6,"0",0,11,1,0
"575",7,"2015-07-19",14,"0",0,15,1,0
"576",1,"2015-07-20",7,"0",1,11,1,0
"577",2,"2015-07-21",6,"0",1,5,1,0
"578",3,"2015-07-22",6,"0",1,16,1,0
"579",4,"2015-07-23",6,"0",1,15,1,0
"580",5,"2015-07-24",6,"0",1,9,1,0
"581",6,"2015-07-25",6,"0",0,14,1,0
